id,speaker,text,target_sec,direction
Y01,YU,え…？,0.8,息をのむ。小さく、語尾が上がる
N01,NARR,3分前。,1.0,低く、区切る
N02,NARR,イヤホンを注文した夜、一通のSMSが届いた。,3.0,淡々と。物語の入り
Y02,YU,あ、頼んでたイヤホンだ。,1.8,軽く嬉しそう
N03,NARR,再配達の手続き。ただ、それだけのはずだった。,3.2,「ただ」で一拍置く
Y03,YU,本人確認ね。はいはい。,1.8,面倒くさそう、油断
R01,RIN,何やってんの。,1.0,平坦、少し呆れ
Y04,YU,再配達の手続きー。,1.4,画面を見たまま、間延び
N04,NARR,ここで、止められるか。,1.8,問いかけ。静かに
N05,NARR,同じ頃、知らない部屋で。,2.0,不穏。低め
Y05,YU,え、残高……ゼロ？,2.0,青ざめる。語尾が震える
R02,RIN,銀行。今すぐ。,1.2,即断。強く短く
Y06,YU,番号どこ、どこ……,1.6,パニック。早口
R03,RIN,アプリ。緊急停止。,1.4,命令形。冷静
N06,NARR,起きていたのは、これ。,1.6,解説モードへ切替。落ち着き
N07,NARR,偽サイトに入れた番号で、詐欺師が本物の銀行にログインを試みる。,4.0,はっきり、やや速め
N08,NARR,銀行は、本人のスマホに認証コードを送る。,2.6,はっきり
N09,NARR,それを偽サイトに打った瞬間、口座の鍵を渡したことになる。,3.6,「鍵」を強く
Y07,YU,カードと口座、止めてください！,2.0,電話口。必死
R04,RIN,送金の取消も。,1.2,横から補足。冷静
N10,NARR,止まった。,0.9,一言。安堵ではなく事実として
Y08,YU,……戻った？,1.4,脱力。半信半疑
R05,RIN,ギリギリね。,1.0,少し笑う
R06,RIN,「ジェイピー」に「ドットトップ」。宅配業者はSMSでURLなんて送らない。,4.2,教える口調。「なんて」を強く
Y09,YU,……もう押さない。,1.4,反省。小さく
N11,NARR,押す前に、公式アプリ。,1.6,標語のように
N12,NARR,本物は、紙で来た。,1.6,乾いた皮肉。少し笑い含み
